x,y,feature_name,description,data_type,num_unique_values,percent_missing,examples,dataset_id
27.667562,-4.9390755,x2,Indicates whether the target value is lower than the mean<br>or not.,float64,3,0%,"[1.0, 1.0, -1.0, -1.0, -1.0]",727
-4.272149,-15.363881,RESOURCE,An ID for each resource.,category,7518,0%,"['45790', '33054', '41591', '100039', '45241']",4135
-10.081282,-9.070086,MGR_ID,The employee ID of the manager of the current employee<br>ID record.,category,4243,0%,"['54303', '120000', '4743', '4838', '70062']",4135
-8.790664,-28.403719,ROLE_ROLLUP_1,Company role grouping category id 1.,category,128,0%,"['117961', '117961', '117961', '117961', '117916']",4135
-8.802685,-28.400503,ROLE_ROLLUP_2,Company role grouping category id 2.,category,177,0%,"['118343', '118300', '119256', '118413', '118343']",4135
-18.577427,-15.733967,ROLE_DEPTNAME,Department description of the company role.,category,449,0%,"['118437', '118692', '119830', '118518', '118635']",4135
-18.706253,-15.561887,ROLE_TITLE,The business title description of the company role.,category,343,0%,"['118321', '118278', '118321', '117905', '179731']",4135
-11.053121,-30.682716,ROLE_FAMILY_DESC,Company role family extended description.,category,2358,0%,"['133542', '120953', '153945', '117906', '118959']",4135
-11.062852,-30.617685,ROLE_FAMILY,Company role family description.,category,67,0%,"['118643', '290919', '118398', '118453', '118453']",4135
-2.7137873,-14.735676,ROLE_CODE,Company role code unique to each role.,category,343,0%,"['118687', '119851', '118279', '118322', '119082']",4135
43.376526,-9.185578,A1,Indicates whether the target value is approved or not.,category,2,0%,"['1', '0', '1', '1', '1']",40981
-17.100788,-1.7749344,A2,The duration of the credit in months.,float64,350,0%,"[169.0, 57.0, 83.0, 292.0, 165.0]",40981
-33.674114,-11.467064,A4,Type of employment.,category,3,0%,"['2', '2', '2', '1', '1']",40981
-45.564976,18.796751,A5,Number of months since the last non-housing loan payment.,category,14,0%,"['11', '11', '13', '6', '4']",40981
-55.820255,27.574162,A6,Number of years of employment.,category,8,0%,"['4', '4', '4', '8', '1']",40981
65.03018,-12.422625,A8,Indicates whether the credit card application was approved or not.,category,2,0%,"['1', '1', '0', '0', '0']",40981
43.376152,-9.185705,A9,Indicates whether the target value is approved or not.,category,2,0%,"['0', '1', '0', '0', '1']",40981
28.629004,-4.1824646,A11,Indicates whether the target value is lower than the mean<br>or not.,category,2,0%,"['1', '1', '1', '0', '1']",40981
-33.674114,-11.467064,A12,Type of employment.,category,3,0%,"['2', '2', '2', '2', '2']",40981
-4.25909,5.96358,Clump_Thickness,The thickness of the clump of cells in a breast<br>mass.,float64,26387,0%,"[1.0, 1.0, 3.035991, 5.628127, 2.962297]",251
35.27619,-19.510359,Cell_Size_Uniformity,Indicates the uniformity of cell size in a sample.,float64,17780,0%,"[7.153026, 4.360962, 1.0, 6.703711, 1.0]",251
34.921738,-19.478083,Cell_Shape_Uniformity,Indicates the uniformity of the shape of the cells in<br>a sample.,float64,16030,0%,"[1.0, 3.692777, 1.0, 6.089195, 1.0]",251
-22.764942,52.05008,Marginal_Adhesion,"The level of adhesion of cells to one another, which<br>may indicate the aggressiveness of the tumor.",float64,13232,0%,"[4.498978, 1.0, 1.0, 1.0, 1.0]",251
-1.3017864,0.02928466,Single_Epi_Cell_Size,The average size of a single epithelial cell.,float64,10910,0%,"[4.523877, 3.0, 2.0, 2.0, 8.301229]",251
