x,y,feature_name,description,data_type,num_unique_values,percent_missing,examples,dataset_id
-13.920719,12.08592,x2,Indicates whether the target value is lower than the mean<br>or not.,float64,3,0%,"[1.0, 1.0, -1.0, -1.0, -1.0]",727
-25.467306,0.83100325,RESOURCE,An ID for each resource.,category,7518,0%,"['45790', '33054', '41591', '100039', '45241']",4135
-11.012199,-45.981693,MGR_ID,The employee ID of the manager of the current employee<br>ID record.,category,4243,0%,"['54303', '120000', '4743', '4838', '70062']",4135
-8.894693,-53.023926,ROLE_ROLLUP_1,Company role grouping category id 1.,category,128,0%,"['117961', '117961', '117961', '117961', '117916']",4135
-8.884202,-53.034447,ROLE_ROLLUP_2,Company role grouping category id 2.,category,177,0%,"['118343', '118300', '119256', '118413', '118343']",4135
-9.639196,-51.337566,ROLE_DEPTNAME,Department description of the company role.,category,449,0%,"['118437', '118692', '119830', '118518', '118635']",4135
-9.624231,-51.343998,ROLE_TITLE,The business title description of the company role.,category,343,0%,"['118321', '118278', '118321', '117905', '179731']",4135
-8.917877,-51.673462,ROLE_FAMILY_DESC,Company role family extended description.,category,2358,0%,"['133542', '120953', '153945', '117906', '118959']",4135
-8.966947,-51.67882,ROLE_FAMILY,Company role family description.,category,67,0%,"['118643', '290919', '118398', '118453', '118453']",4135
-9.36771,-52.484024,ROLE_CODE,Company role code unique to each role.,category,343,0%,"['118687', '119851', '118279', '118322', '119082']",4135
-12.25548,16.800024,A1,Indicates whether the target value is approved or not.,category,2,0%,"['1', '0', '1', '1', '1']",40981
-35.199368,-37.0246,A2,The duration of the credit in months.,float64,350,0%,"[169.0, 57.0, 83.0, 292.0, 165.0]",40981
-6.912759,-45.28885,A4,Type of employment.,category,3,0%,"['2', '2', '2', '1', '1']",40981
-36.893135,-38.377533,A5,Number of months since the last non-housing loan payment.,category,14,0%,"['11', '11', '13', '6', '4']",40981
-12.559714,-43.54306,A6,Number of years of employment.,category,8,0%,"['4', '4', '4', '8', '1']",40981
1.0642962,-50.786053,A8,Indicates whether the credit card application was approved or not.,category,2,0%,"['1', '1', '0', '0', '0']",40981
-12.25545,16.80004,A9,Indicates whether the target value is approved or not.,category,2,0%,"['0', '1', '0', '0', '1']",40981
-18.311415,13.135572,A11,Indicates whether the target value is lower than the mean<br>or not.,category,2,0%,"['1', '1', '1', '0', '1']",40981
-6.9128036,-45.288864,A12,Type of employment.,category,3,0%,"['2', '2', '2', '2', '2']",40981
38.606174,19.938171,Clump_Thickness,The thickness of the clump of cells in a breast<br>mass.,float64,26387,0%,"[1.0, 1.0, 3.035991, 5.628127, 2.962297]",251
29.892033,21.83504,Cell_Size_Uniformity,Indicates the uniformity of cell size in a sample.,float64,17780,0%,"[7.153026, 4.360962, 1.0, 6.703711, 1.0]",251
