x,y,feature_name,description,data_type,num_unique_values,percent_missing,examples,dataset_id
3.5953393,-19.149029,x2,Indicates whether the target value is lower than the mean<br>or not.,float64,3,0%,"[1.0, 1.0, -1.0, -1.0, -1.0]",727
10.635088,0.86524504,RESOURCE,An ID for each resource.,category,7518,0%,"['45790', '33054', '41591', '100039', '45241']",4135
11.691106,3.5302503,MGR_ID,The employee ID of the manager of the current employee<br>ID record.,category,4243,0%,"['54303', '120000', '4743', '4838', '70062']",4135
11.637753,3.8182557,ROLE_ROLLUP_1,Company role grouping category id 1.,category,128,0%,"['117961', '117961', '117961', '117961', '117916']",4135
11.625835,3.829665,ROLE_ROLLUP_2,Company role grouping category id 2.,category,177,0%,"['118343', '118300', '119256', '118413', '118343']",4135
11.646393,3.8365264,ROLE_DEPTNAME,Department description of the company role.,category,449,0%,"['118437', '118692', '119830', '118518', '118635']",4135
11.631674,3.7781007,ROLE_TITLE,The business title description of the company role.,category,343,0%,"['118321', '118278', '118321', '117905', '179731']",4135
11.664844,3.8545702,ROLE_FAMILY_DESC,Company role family extended description.,category,2358,0%,"['133542', '120953', '153945', '117906', '118959']",4135
11.632804,3.8494844,ROLE_FAMILY,Company role family description.,category,67,0%,"['118643', '290919', '118398', '118453', '118453']",4135
11.6887455,3.8394706,ROLE_CODE,Company role code unique to each role.,category,343,0%,"['118687', '119851', '118279', '118322', '119082']",4135
9.849192,-2.4603195,A1,Indicates whether the target value is approved or not.,category,2,0%,"['1', '0', '1', '1', '1']",40981
13.236696,4.20853,A2,The duration of the credit in months.,float64,350,0%,"[169.0, 57.0, 83.0, 292.0, 165.0]",40981
11.056918,4.0637927,A4,Type of employment.,category,3,0%,"['2', '2', '2', '1', '1']",40981
13.426668,4.111599,A5,Number of months since the last non-housing loan payment.,category,14,0%,"['11', '11', '13', '6', '4']",40981
11.664235,3.4513595,A6,Number of years of employment.,category,8,0%,"['4', '4', '4', '8', '1']",40981
12.7432995,3.214709,A8,Indicates whether the credit card application was approved or not.,category,2,0%,"['1', '1', '0', '0', '0']",40981
9.872101,-2.4681702,A9,Indicates whether the target value is approved or not.,category,2,0%,"['0', '1', '0', '0', '1']",40981
3.8441932,-17.905224,A11,Indicates whether the target value is lower than the mean<br>or not.,category,2,0%,"['1', '1', '1', '0', '1']",40981
10.990758,4.073688,A12,Type of employment.,category,3,0%,"['2', '2', '2', '2', '2']",40981
6.989821,2.291958,Clump_Thickness,The thickness of the clump of cells in a breast<br>mass.,float64,26387,0%,"[1.0, 1.0, 3.035991, 5.628127, 2.962297]",251
7.0167823,1.6584381,Cell_Size_Uniformity,Indicates the uniformity of cell size in a sample.,float64,17780,0%,"[7.153026, 4.360962, 1.0, 6.703711, 1.0]",251
6.98357,1.6621249,Cell_Shape_Uniformity,Indicates the uniformity of the shape of the cells in<br>a sample.,float64,16030,0%,"[1.0, 3.692777, 1.0, 6.089195, 1.0]",251
6.9734955,2.2928698,Marginal_Adhesion,"The level of adhesion of cells to one another, which<br>may indicate the aggressiveness of the tumor.",float64,13232,0%,"[4.498978, 1.0, 1.0, 1.0, 1.0]",251
7.051982,2.5037863,Single_Epi_Cell_Size,The average size of a single epithelial cell.,float64,10910,0%,"[4.523877, 3.0, 2.0, 2.0, 8.301229]",251
7.0204473,1.6174946,Bare_Nuclei,Represents the number of bare nuclei in a cell nucleus.,float64,8561,0%,"[1.0, 1.0, 1.0, 1.0, 10.0]",251
6.9150534,1.6149273,Bland_Chromatin,Describes the uniformity of the chromatin in the cell nuclei.,float64,11991,0%,"[5.448254, 2.0, 3.0, 7.601751, 1.0]",251
6.9413757,1.6719652,Normal_Nucleoli,Indicates the normality of the nucleoli in the cells.,float64,11095,0%,"[1.0, 5.419773, 1.0, 1.0, 1.0]",251
6.3985715,2.431255,Mitoses,Indicates the number of mitoses (cell division) observed in a<br>tissue sample.,float64,2988,0%,"[1.0, 1.0, 1.0, 1.0, 1.0]",251
14.136485,15.923881,top-left-square,Indicates the symbol in the top-left square of a tic-tac-toe<br>game.,category,3,0%,"['x', 'x', 'x', 'b', 'x']",137
14.139774,15.936752,top-middle-square,Indicates the symbol in the middle row and the middle<br>column of the tic-tac-toe game board.,category,3,0%,"['b', 'b', 'x', 'x', 'x']",137
14.139049,15.931159,top-right-square,Indicates the symbol used in the top-right square of a<br>tic-tac-toe game.,category,3,0%,"['x', 'b', 'o', 'b', 'b']",137
14.1326685,15.916592,middle-left-square,Indicates the symbol in the middle-left square of a tic-tac-toe<br>game.,category,3,0%,"['b', 'o', 'x', 'o', 'o']",137
14.132365,15.915758,middle-middle-square,The value in the middle-middle square of a tic-tac-toe board.,category,3,0%,"['x', 'o', 'o', 'o', 'x']",137
14.111609,15.900101,middle-right-square,The middle-right-square feature represents the symbol placed in the middle-right<br>square of a tic-tac-toe game board.,category,3,0%,"['o', 'x', 'x', 'x', 'x']",137
14.133943,15.926488,bottom-left-square,The bottom-left-square feature represents the symbol in the bottom-left square<br>of a tic-tac-toe game board.,category,3,0%,"['b', 'b', 'x', 'o', 'o']",137
14.133127,15.919638,bottom-middle-square,Indicates the symbol in the bottom-middle square of a tic-tac-toe<br>game.,category,3,0%,"['b', 'x', 'o', 'o', 'b']",137
14.118321,15.912008,bottom-right-square,The bottom-right-square feature represents the value in the bottom-right square<br>of a tic-tac-toe board.,category,3,0%,"['o', 'o', 'b', 'b', 'x']",137
10.544326,0.7205298,V1,Unique identifier for each chorale in the dataset.,category,62,0%,"['003306b_', '012606b_', '000106b_', '015408b_', '013705ch']",4552
18.10306,4.6597624,V2,Pitch class information for a given event in a chorale.,uint8,207,0%,"[74, 80, 87, 79, 14]",4552
18.095808,4.6577806,V3,Indicates whether a specific pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
18.10232,4.663467,V4,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
18.096832,4.658873,V5,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', 'YES']",4552
18.097689,4.6586556,V6,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', 'YES', 'YES', ' NO']",4552
18.112978,4.6704245,V7,Indicates whether a pitch class is present in a given<br>event or not.,category,2,0%,"['YES', 'YES', ' NO', ' NO', ' NO']",4552
