dataset_id,name,size,num_rows,num_cols
727,2dplanes,448448.0,40768.0,11.0
4135,Amazon_employee_access,327690.0,32769.0,10.0
40981,Australian,10350.0,690.0,15.0
251,BNG(breast-w),393660.0,39366.0,10.0
137,BNG(tic-tac-toe),393660.0,39366.0,10.0
4552,BachChoralHarmony,96305.0,5665.0,17.0
45037,BitcoinHeist_Ransomware,198240.0,24780.0,8.0
41701,CPMP-2015-classification,14229.0,527.0,27.0
41919,CPMP-2015-runtime-classification,12121.0,527.0,23.0
45578,California-Housing-Classification,185760.0,20640.0,9.0
1447,CastMetal1,12426.0,327.0,38.0
42733,Click_prediction_small,479376.0,39948.0,12.0
1446,CostaMadre1,11248.0,296.0,38.0
4154,CreditCardSubset,441440.0,14240.0,31.0
41496,DRSongsLyrics,716.0,358.0,2.0
4340,Engine1,2298.0,383.0,6.0
45554,FICO-HELOC-cleaned,236904.0,9871.0,24.0
40646,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,33600.0,1600.0,21.0
40647,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,33600.0,1600.0,21.0
40648,GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1,33600.0,1600.0,21.0
40649,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,33600.0,1600.0,21.0
40650,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,33600.0,1600.0,21.0
4538,GesturePhaseSegmentationProcessed,325809.0,9873.0,33.0
40916,HappinessRank_2015,1896.0,158.0,12.0
45064,Insurance,259028.0,23548.0,11.0
44344,Iris,750.0,150.0,5.0
976,JapaneseVowels,149415.0,9961.0,15.0
42186,JuanFeldmanIris,750.0,150.0,5.0
45075,KDD,231472.0,5032.0,46.0
44186,KDDCup09_upselling,256400.0,5128.0,50.0
1448,KnuggetChase3,7760.0,194.0,40.0
1441,KungChi3,4920.0,123.0,40.0
40496,LED-display-domain-7digit,4000.0,500.0,8.0
44125,MagicTelescope,147136.0,13376.0,11.0
45557,Mammographic-Mass-Data-Set,4805.0,961.0,5.0
1442,MegaWatt1,9614.0,253.0,38.0
40966,MiceProtein,88560.0,1080.0,82.0
1413,MyIris,750.0,150.0,5.0
45104,PLK_Mini_Copy,10320.0,3440.0,3.0
4534,PhishingWebsites,342705.0,11055.0,31.0
1451,PieChart1,26790.0,705.0,38.0
1452,PieChart2,27565.0,745.0,37.0
1453,PieChart3,40926.0,1077.0,38.0
1443,PizzaCutter1,25118.0,661.0,38.0
1444,PizzaCutter3,39634.0,1043.0,38.0
1100,PopularKids,5258.0,478.0,11.0
45558,Pulsar-Dataset-HTRU2,161082.0,17898.0,9.0
336,SPECT,6141.0,267.0,23.0
1600,SPECTF,12015.0,267.0,45.0
40900,Satellite,188700.0,5100.0,37.0
45074,Shipping,109990.0,10999.0,10.0
41946,Sick_numeric,113160.0,3772.0,30.0
4153,Smartphone-Based_Recognition_of_Human_Activities,12240.0,180.0,68.0
43160,StackOverflow-polarity,8846.0,4423.0,2.0
43148,StackOverflow-polarity-test,2652.0,1326.0,2.0
43147,StackOverflow-polarity-train,6194.0,3097.0,2.0
380,SyskillWebert-Bands,183.0,61.0,3.0
374,SyskillWebert-BioMedical,393.0,131.0,3.0
379,SyskillWebert-Goats,210.0,70.0,3.0
376,SyskillWebert-Sheep,195.0,65.0,3.0
40704,Titanic,8804.0,2201.0,4.0
42544,Touch2,2915.0,265.0,11.0
45545,Tour-and-Travels-Customer-Churn-Prediction,6678.0,954.0,7.0
41978,TuningSVMs,12636.0,156.0,81.0
373,UNIX_user_data,27300.0,9100.0,3.0
45625,Weather,70.0,14.0,5.0
45611,Weather-Test,70.0,14.0,5.0
1557,abalone,37593.0,4177.0,9.0
